repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
JavaGuide,,,,,,,,,,,,
GitHub-Chinese-Top-Charts,0.0,0.0,,1.0,1.0,,0.0,0.0,,3.0,3.0,
hello-algo,1.003,1.0,0.986,1.0,1.0,0.0,4.707,1.0,10.458,9.034,7.0,5.836
java-design-patterns,1.737,1.0,1.734,1.197,1.0,0.517,1.87,0.0,6.466,5.964,4.0,5.562
mall,1.571,2.0,1.206,1.239,1.0,0.439,1110.804,13.0,8155.555,3.942,4.0,2.683
advanced-java,,,,,,,,,,,,
LeetCodeAnimation,0.5,0.5,0.535,1.0,1.0,0.0,0.0,0.0,0.0,8.5,6.5,5.88
spring-boot,2.143,2.0,1.943,1.292,1.0,0.775,12.068,0.0,105.181,5.33,3.0,4.068
interviews,1.038,1.0,1.148,1.004,1.0,0.062,0.292,0.0,0.929,13.773,12.0,8.558
spring-framework,2.208,2.0,2.121,1.48,1.0,1.437,30.465,0.0,274.196,6.332,3.0,8.3
guava,1.868,2.0,1.701,1.794,1.0,2.234,47.823,0.0,447.33,6.485,4.0,7.128
RxJava,2.187,2.0,2.086,1.319,1.0,0.886,47.417,0.0,1802.829,8.255,4.0,9.665
Stirling-PDF,2.561,2.0,3.593,1.314,1.0,0.575,10.481,0.0,36.765,11.269,5.0,19.553
jadx,1.88,1.0,2.214,1.684,1.0,1.233,31.179,0.0,293.417,7.665,3.0,12.413
dubbo,1.656,1.0,2.042,1.286,1.0,0.706,44.582,1.0,438.733,6.97,3.0,9.754
JeecgBoot,2.183,1.0,2.467,1.181,1.0,0.449,55.379,0.0,318.485,8.856,3.0,13.65
MPAndroidChart,1.947,1.0,2.98,1.98,1.0,1.231,91.033,1.0,517.797,8.053,3.0,14.94
arthas,1.312,1.0,2.001,1.383,1.0,0.748,39.504,1.0,179.391,7.134,3.0,12.206
hello-algorithm,1.25,1.5,0.957,1.0,1.0,0.0,0.0,0.0,0.0,13.0,11.0,8.367
lottie-android,2.288,2.0,2.285,1.293,1.0,0.652,32.171,0.0,265.286,8.577,3.0,14.188
termux-app,2.139,2.0,2.118,1.431,1.0,0.705,60.631,0.0,235.252,9.175,4.0,16.198
glide,2.563,2.0,2.108,1.24,1.0,0.808,19.815,0.0,157.837,6.136,4.0,6.199
halo,2.656,2.0,2.222,1.256,1.0,0.601,6.798,0.0,28.248,7.013,4.0,7.906
netty,2.05,2.0,2.162,1.522,1.0,1.187,67.378,0.0,1160.083,7.367,3.0,11.119
AndroidUtilCode,2.026,2.0,1.572,1.364,1.0,0.836,144.954,0.0,960.505,6.643,3.0,9.079
spring-boot-demo,1.955,1.0,1.741,1.131,1.0,0.488,2.322,0.0,9.815,5.434,3.0,6.376
zxing,1.798,1.0,1.949,1.662,2.0,0.773,22.85,0.0,130.825,10.908,5.0,15.346
easyexcel,2.081,1.0,2.541,1.375,1.0,0.834,32.025,1.0,355.668,7.531,3.0,10.197
NewPipe,2.177,2.0,2.093,1.653,1.0,1.092,43.574,1.0,236.694,8.477,5.0,10.693
selenium,2.287,2.0,2.473,1.386,1.0,1.068,31.963,1.0,278.793,7.011,4.0,8.166
spring-boot-examples,1.383,1.0,1.441,1.026,1.0,0.16,5.033,0.0,16.349,3.974,3.0,3.22
nacos,1.912,1.0,2.126,1.293,1.0,0.71,16.641,0.0,95.428,7.321,4.0,8.297
apollo,2.361,2.0,2.649,1.268,1.0,0.711,13.808,0.0,46.05,6.609,3.0,6.771
hutool,1.495,1.0,1.376,1.287,1.0,0.746,105.003,0.0,975.505,6.376,3.0,6.912
kafka,2.746,2.0,3.0,1.393,1.0,1.04,51.023,0.0,692.109,8.213,4.0,9.581
canal,1.422,1.0,1.936,1.38,1.0,0.823,77.412,1.0,467.632,8.59,3.0,16.478
SpringAll,1.565,1.0,1.731,1.111,1.0,0.369,3.749,0.0,11.858,4.528,3.0,4.24
druid,1.623,1.0,2.286,1.86,2.0,0.481,26.756,0.0,531.863,10.483,7.0,12.659
spring-cloud-alibaba,1.471,1.0,1.822,1.128,1.0,0.415,27.474,0.0,292.813,5.735,3.0,10.092
xxl-job,1.401,1.0,2.222,1.135,1.0,0.393,20.626,0.0,98.636,10.112,3.0,21.159
vhr,0.908,0.0,1.663,1.021,1.0,0.145,48.33,6.0,225.795,3.712,3.0,8.809
JCSprout,1.122,1.0,1.144,1.093,1.0,0.366,1.765,0.0,6.358,8.963,6.0,8.384
ruoyi-vue-pro,2.972,2.0,2.72,1.237,1.0,0.462,16.377,0.0,543.972,5.543,3.0,5.987
miaosha,1.34,1.0,1.743,1.126,1.0,0.391,14.301,0.0,85.544,5.824,3.0,6.19
fastjson,0.713,0.0,1.273,1.504,1.0,0.713,126.121,0.0,3281.966,6.379,3.0,15.779
butterknife,2.81,2.0,2.535,1.235,1.0,0.711,10.482,0.0,75.806,8.673,5.0,11.69
toBeTopJavaer,,,,,,,,,,,,
incubator-seata,1.515,1.0,1.793,1.889,1.0,16.207,598.687,3.0,16892.74,6.878,3.0,52.754
proxyee-down,1.885,1.0,2.583,1.467,1.0,0.929,19.517,2.0,49.729,8.863,4.0,9.647
SmartRefreshLayout,2.627,2.0,2.515,1.665,1.0,1.084,28.807,0.0,276.804,10.207,5.0,16.166
Telegram,,,,,,,,,,,,
EventBus,1.707,2.0,1.435,1.836,1.0,1.424,9.055,0.0,35.082,6.576,3.0,6.644
Hystrix,2.362,2.0,2.656,1.57,1.0,3.592,20.254,0.0,385.241,7.94,3.0,13.752
skywalking,2.246,2.0,2.787,1.398,1.0,0.702,5.407,0.0,22.181,8.574,5.0,9.888
gson,2.463,2.0,1.817,1.218,1.0,0.68,19.66,0.0,372.506,7.872,5.0,8.709
redisson,2.277,2.0,2.009,1.354,1.0,0.778,179.272,0.0,1560.401,6.073,3.0,9.302
libgdx,1.215,1.0,1.406,1.804,1.0,1.667,3446.823,0.0,144539.648,4.94,3.0,10.659
bazel,2.514,2.0,2.579,1.584,1.0,1.313,63.415,1.0,915.44,6.792,4.0,9.18
jenkins,2.103,2.0,2.048,1.924,2.0,1.81,45.902,0.0,909.968,7.12,3.0,9.64
keycloak,1.934,1.0,2.371,1.565,1.0,1.092,69.901,2.0,913.385,7.184,3.0,10.974
Sentinel,1.703,1.0,1.975,1.182,1.0,0.66,12.555,0.0,46.996,7.276,3.0,8.767
source-code-hunter,,,,,,,,,,,,
ExoPlayer,2.602,2.0,2.521,1.295,1.0,1.016,52.22,0.0,493.139,8.542,5.0,15.654
FizzBuzzEnterpriseEdition,1.438,1.0,1.485,1.0,1.0,0.0,0.231,0.0,0.716,4.082,3.0,3.372
eladmin,2.921,2.0,2.902,1.18,1.0,0.49,6.106,0.0,18.976,6.715,4.0,8.945
rocketmq,1.843,1.0,2.518,1.332,1.0,0.761,110.427,1.0,1917.713,8.626,3.0,12.802
GSYVideoPlayer,1.494,1.0,1.857,1.582,1.0,1.521,56.584,0.0,307.353,7.238,4.0,11.111
DoKit,1.799,1.0,1.751,1.321,1.0,0.837,71.767,0.0,634.399,7.163,3.0,9.752
RxAndroid,2.101,2.0,1.684,1.127,1.0,0.433,3.091,0.0,11.234,8.47,6.0,6.567
Apktool,1.888,1.0,2.051,1.883,1.0,1.214,53.676,3.0,298.377,9.275,4.0,14.718
HikariCP,1.233,1.0,1.73,1.301,1.0,0.686,189.957,0.0,1489.37,7.002,3.0,8.889
shardingsphere,2.762,2.0,3.054,1.453,1.0,0.764,26.482,0.0,377.86,6.212,4.0,5.537
mybatis-3,1.581,1.0,1.98,1.266,1.0,0.753,21.553,0.0,258.218,5.745,3.0,6.467
litemall,1.885,2.0,1.422,1.126,1.0,0.333,1532.885,1.0,9402.6,4.392,4.0,4.458
SpringBoot-Labs,1.493,1.0,1.321,1.053,1.0,0.272,1.444,0.0,6.745,4.211,3.0,2.966
PhotoView,1.572,1.0,1.531,1.356,1.0,0.57,24.6,0.0,157.259,7.524,3.0,12.099
SmartTube,1.94,1.0,2.03,1.559,1.0,1.485,65.997,1.0,486.229,7.674,4.0,10.576
cat,1.471,1.0,2.024,1.434,1.0,0.708,23.033,1.0,104.206,7.799,3.0,9.272
SpringCloudLearning,1.427,1.0,0.984,1.049,1.0,0.217,0.545,0.0,1.86,3.699,3.0,4.222
dataease,1.951,1.0,2.69,1.227,1.0,0.721,20.635,0.0,126.532,8.721,3.0,17.716
disruptor,2.345,2.0,2.204,1.29,1.0,0.81,25.883,0.0,224.699,5.703,3.0,4.887
awesome-system-design-resources,0.258,0.0,0.445,1.0,1.0,0.0,0.0,0.0,0.0,7.29,6.0,3.398
LSPosed,1.945,1.0,2.054,1.646,1.0,1.287,48.115,0.0,319.849,8.614,4.0,13.186
tinker,1.707,1.0,2.033,1.591,1.0,2.481,27.219,0.0,102.909,11.895,5.0,22.593
Algorithms,1.456,1.0,1.174,1.054,1.0,0.226,16.201,3.0,38.508,9.243,6.0,8.986
APIJSON,1.481,1.0,1.975,1.269,1.0,0.687,897.791,5.0,3939.424,8.446,3.0,31.034
fresco,2.219,2.0,2.014,1.396,1.0,0.931,26.202,0.0,116.855,6.866,4.0,7.837
antlr4,2.114,2.0,2.271,1.838,1.0,1.167,48.344,0.0,192.677,8.02,4.0,12.044
zipkin,2.357,2.0,1.972,1.558,1.0,1.547,19.669,1.0,74.587,5.986,4.0,7.174
DSA-Bootcamp-Java,0.945,1.0,0.985,1.083,1.0,0.341,3.502,1.0,11.011,8.077,5.0,6.954
Android-Universal-Image-Loader,1.586,1.0,1.593,1.586,1.0,0.96,28.843,0.5,99.819,6.747,4.0,8.072
java8-tutorial,0.634,0.5,0.76,1.0,1.0,0.0,3.909,0.0,9.328,8.167,6.0,6.358
zheng,1.557,2.0,1.544,1.409,1.0,0.492,340.857,0.0,1786.343,4.34,4.0,4.205
analysis-ik,1.405,1.0,1.506,1.353,1.0,0.485,14.294,2.5,27.531,8.38,4.0,9.317
JustAuth,2.065,2.0,2.024,1.333,1.0,0.579,13.367,6.0,20.251,4.964,3.0,3.889
mybatis-plus,2.208,2.0,2.156,1.341,1.0,0.688,27.078,0.0,165.703,6.588,3.0,9.66
material-components-android,2.335,2.0,1.988,1.528,1.0,0.984,83.829,1.0,810.795,6.738,4.0,7.958
springboot-learning-example,1.472,1.0,1.496,1.044,1.0,0.245,2.851,0.0,6.033,3.372,3.0,1.939
Sa-Token,1.398,1.0,1.48,1.252,1.0,0.827,58.385,1.0,587.514,5.42,3.0,5.747
yudao-cloud,3.012,2.0,2.714,1.222,1.0,0.451,16.151,0.0,540.635,5.411,3.0,5.636
presto,2.568,2.0,3.255,1.363,1.0,0.894,75.892,1.0,1328.832,6.795,3.0,8.759
DataX,1.518,1.0,2.063,1.724,1.0,1.527,17.67,0.0,117.494,10.454,4.0,16.197
BigData-Notes,2.475,2.0,1.946,1.221,1.0,0.417,0.818,0.0,1.862,8.457,6.0,7.416
caffeine,3.196,2.0,2.986,1.645,1.0,1.511,148.353,0.0,1471.416,7.337,4.0,8.16
SpringBoot-Learning,1.57,1.0,1.443,1.026,1.0,0.181,1.454,0.0,7.194,3.874,3.0,2.86
Android-CleanArchitecture,1.505,1.0,1.359,1.429,1.0,0.705,6.724,1.0,23.218,4.281,3.0,3.271
VirtualXposed,1.801,1.0,2.266,2.793,2.0,11.859,14.696,0.0,128.638,8.748,4.0,12.269
Chat2DB,2.022,2.0,2.224,1.256,1.0,0.562,15.438,0.0,81.98,7.902,3.0,10.902
mockito,1.942,2.0,1.909,1.401,1.0,1.084,18.3,0.0,278.63,5.693,4.0,5.454
bytecode-viewer,1.618,1.0,2.013,2.137,1.0,1.866,13.209,0.0,56.908,10.33,4.0,18.365
CircleImageView,1.333,1.0,1.221,2.333,2.0,0.577,178.667,0.0,309.46,8.051,5.0,6.291
flink-learning,2.011,1.0,2.278,1.125,1.0,0.346,3.344,0.0,18.729,8.341,5.0,10.079
ARouter,1.461,1.0,1.927,1.408,1.0,0.784,17.449,0.0,83.333,7.273,3.0,12.548
QMUI_Android,1.878,1.0,1.899,1.629,1.0,1.34,35.342,0.0,197.899,8.785,4.0,31.601
tech-interview-for-developer,0.846,1.0,0.67,1.0,1.0,0.0,0.923,0.0,3.04,12.179,9.0,12.115
pulsar,2.558,2.0,3.106,1.714,1.0,3.753,82.909,0.0,1382.947,10.452,4.0,15.227
Arduino,1.443,1.0,2.052,1.644,1.0,1.562,32.722,0.0,208.261,9.563,4.0,15.533
jd-gui,1.543,1.0,1.942,2.418,1.0,2.339,11.115,1.0,51.073,8.8,3.0,14.957
logger,2.423,2.0,1.439,1.167,1.0,0.383,14.944,0.0,35.587,5.827,3.0,7.087
jib,2.578,2.0,2.551,1.222,1.0,0.647,17.118,0.0,73.137,7.019,5.0,7.14
Luban,1.358,1.0,1.45,1.172,1.0,0.384,10.862,1.0,24.928,7.853,4.0,9.394
Material-Animations,2.131,2.0,1.454,1.467,1.0,0.757,4.756,0.0,16.108,7.205,5.0,8.135
spring-analysis,0.861,0.0,1.195,1.242,1.0,0.751,1.788,0.0,3.189,3.734,3.0,2.129
tink,2.838,2.0,2.377,1.289,1.0,1.242,30.076,1.0,184.046,7.39,5.0,8.943
AndroidAutoSize,1.612,1.0,2.049,1.408,1.0,0.497,31.286,1.0,136.3,5.953,3.0,7.03
zuul,2.194,2.0,2.478,1.59,1.0,1.001,24.496,1.0,133.434,6.835,4.0,7.723
Android-PickerView,1.415,1.0,1.383,1.154,1.0,0.363,15.495,0.0,90.564,10.053,4.0,18.895
druid,1.623,1.0,2.286,1.86,2.0,0.481,26.756,0.0,531.863,10.483,7.0,12.659
pinpoint,1.75,1.0,2.166,1.148,1.0,0.521,16.792,0.0,146.782,6.597,3.0,8.894
PictureSelector,1.69,1.0,1.9,1.237,1.0,0.669,49.449,0.0,372.186,8.28,4.0,13.823
Ehviewer_CN_SXJ,1.918,1.0,2.565,1.828,1.0,1.458,62.186,1.0,667.708,9.482,4.0,14.136
onedev,2.193,2.0,2.952,1.427,1.0,0.905,22.244,0.0,373.033,9.111,3.0,24.459
piggymetrics,1.753,1.0,1.799,1.061,1.0,0.24,3.828,0.0,10.079,5.02,3.0,5.829
mall-learning,1.483,2.0,1.393,1.104,1.0,0.306,229.51,0.0,1250.418,3.987,4.0,2.748
banner,1.942,2.0,2.005,1.836,2.0,0.687,47.685,1.0,350.899,6.746,4.0,7.018
mit-deep-learning-book-pdf,,,,1.0,1.0,,0.0,0.0,,,,
supertokens-core,4.361,4.0,3.82,1.573,1.0,1.111,53.85,3.0,697.274,16.536,9.0,20.013
dolphinscheduler,2.307,2.0,2.546,1.348,1.0,0.641,12.06,0.0,63.005,7.268,4.0,9.399
stetho,1.942,1.0,2.09,1.423,1.0,1.249,7.497,0.0,31.248,6.706,4.0,7.864
greenDAO,1.795,1.0,1.971,2.102,1.0,1.716,47.453,1.0,241.283,6.391,4.0,6.652
Matisse,2.057,1.0,2.109,1.395,1.0,0.634,8.079,0.0,16.138,7.539,4.0,9.337
zaproxy,1.556,1.0,1.793,1.908,1.0,1.806,69.322,1.0,344.844,7.757,4.0,10.904
guice,2.741,2.0,2.487,1.288,1.0,1.206,7.992,0.0,75.037,6.989,3.0,9.005
AndroidViewAnimations,1.812,2.0,1.0,1.805,2.0,0.399,2.293,0.0,12.889,4.58,3.0,4.187
eureka,2.176,1.0,2.449,1.271,1.0,0.705,18.573,0.0,134.516,7.039,3.0,8.641
AndroidSwipeLayout,1.623,1.0,1.339,1.324,1.0,0.599,58.905,0.0,480.284,7.151,3.0,11.576
doris,2.216,1.0,2.749,1.734,1.0,1.195,95.455,0.0,1746.461,9.443,4.0,17.709
spring-boot-admin,2.693,2.0,2.531,1.254,1.0,0.591,7.159,0.0,29.062,5.808,4.0,4.546
dex2jar,2.342,2.0,2.513,1.571,1.0,0.982,21.133,0.0,136.514,14.412,5.0,30.966
languagetool,1.538,1.0,1.974,1.599,1.0,0.994,52.362,1.0,385.559,9.952,3.0,29.052
Mybatis-PageHelper,2.614,2.0,2.694,1.425,1.0,0.84,29.966,0.0,191.435,8.798,4.0,9.952
zookeeper,1.847,1.0,2.307,1.995,1.0,3.008,37.139,0.0,394.331,9.833,5.0,15.197
COLA,1.864,1.0,2.276,1.329,1.0,0.73,3.685,0.0,13.612,4.731,3.0,4.036
uCrop,1.727,1.0,1.733,1.364,1.0,0.842,28.909,1.0,81.545,7.787,4.0,9.382
VasSonic,1.664,1.0,1.973,1.279,1.0,0.59,21.613,0.0,96.043,10.743,5.0,14.881
mall-swarm,1.534,2.0,1.216,1.232,1.0,0.434,1106.229,13.0,8134.411,3.903,4.0,2.603
matrix,1.849,1.0,2.266,1.289,1.0,0.86,12.894,0.0,65.669,10.42,5.0,16.611
fullstack-tutorial,,,,,,,,,,,,
metersphere,2.093,2.0,1.909,1.301,1.0,0.552,440.821,0.0,3719.467,5.962,4.0,9.439
cryptomator,2.165,1.0,2.217,1.427,1.0,1.001,17.871,1.0,61.897,5.536,3.0,5.444
realm-java,2.041,2.0,2.11,1.213,1.0,0.724,51.748,0.0,656.661,8.909,3.0,21.03
webmagic,1.765,1.0,1.845,1.183,1.0,0.585,11.282,1.0,76.051,6.065,3.0,6.143
