Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Idade do Repositório (anos),Total de Releases
8,spring-boot,https://github.com/spring-projects/spring-boot,74572,19/10/2012 15:02:57,11.93,286
9,elasticsearch,https://github.com/elastic/elasticsearch,69610,08/02/2010 13:20:56,14.63,155
12,spring-framework,https://github.com/spring-projects/spring-framework,56254,08/12/2010 04:04:45,13.8,312
13,ghidra,https://github.com/NationalSecurityAgency/ghidra,50688,01/03/2019 03:27:48,5.57,38
20,dbeaver,https://github.com/dbeaver/dbeaver,39355,21/10/2015 08:26:28,8.93,207
22,tutorials,https://github.com/eugenp/tutorials,36513,29/04/2013 18:26:36,11.41,0
41,kafka,https://github.com/apache/kafka,28422,15/08/2011 18:06:16,13.11,0
57,telegram,https://github.com/DrKLO/Telegram,24800,25/10/2013 14:08:10,10.92,94
60,flink,https://github.com/apache/flink,23864,07/06/2014 07:00:10,10.3,0
63,redisson,https://github.com/redisson/redisson,23212,11/01/2014 14:06:25,10.7,154
65,bazel,https://github.com/bazelbuild/bazel,23000,12/06/2014 16:00:38,10.28,153
67,keycloak,https://github.com/keycloak/keycloak,22384,02/07/2013 13:38:51,11.23,63
69,mindustry,https://github.com/Anuken/Mindustry,22158,30/04/2017 01:24:29,7.4,160
72,openapi-generator,https://github.com/OpenAPITools/openapi-generator,21362,12/05/2018 09:57:56,6.37,66
76,graal,https://github.com/oracle/graal,20257,14/01/2016 17:11:35,8.69,32
82,shardingsphere,https://github.com/apache/shardingsphere,19798,18/01/2016 12:49:26,8.68,56
84,jdk,https://github.com/openjdk/jdk,19449,17/09/2018 12:29:20,6.02,0
94,thingsboard,https://github.com/thingsboard/thingsboard,17260,01/12/2016 09:33:30,7.81,61
99,intellij-community,https://github.com/JetBrains/intellij-community,17099,30/09/2011 13:33:05,12.99,0
114,grasscutter,https://github.com/Grasscutters/Grasscutter,16169,17/04/2022 12:43:46,2.43,20
116,presto,https://github.com/prestodb/presto,15926,09/08/2012 01:03:37,12.13,0
125,hadoop,https://github.com/apache/hadoop,14658,28/08/2014 07:00:08,10.08,0
132,questdb,https://github.com/questdb/questdb,14360,28/04/2014 23:29:15,10.41,85
133,vert.x,https://github.com/eclipse-vertx/vert.x,14253,17/06/2011 14:54:55,13.27,0
138,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13613,27/11/2013 02:03:28,10.83,0
140,quarkus,https://github.com/quarkusio/quarkus,13581,06/07/2018 00:44:20,6.22,334
154,neo4j,https://github.com/neo4j/neo4j,13146,12/11/2012 08:46:15,11.87,72
157,lombok,https://github.com/projectlombok/lombok,12832,08/06/2009 19:46:41,15.3,0
171,doris,https://github.com/apache/doris,12344,10/08/2017 12:13:30,7.12,56
180,jedis,https://github.com/redis/jedis,11800,11/06/2010 13:04:43,14.29,107
14,guava,https://github.com/google/guava,50033,29/05/2014 16:23:17,10.32,46
